Temperature;Humidity;Windspeed;UV;Season;Weather
-7.0;83;5.0;1;Winter;Snowy
3.0;98;9.0;0;Winter;Snowy
32.0;96;6.5;2;Summer;Rainy
-6.0;82;9.5;0;Winter;Snowy
38.0;77;11.5;3;Winter;Sunny
32.0;62;5.0;1;Spring;Cloudy
42.0;41;9.0;11;Winter;Sunny
34.0;69;15.0;8;Spring;Snowy
40.0;21;5.5;7;Autumn;Sunny
10.0;85;15.5;2;Winter;Rainy
-3.0;106;42.0;9;Winter;Snowy
20.0;51;3.5;4;Autumn;Cloudy
14.0;70;14.0;2;Spring;Cloudy
24.0;21;0.5;7;Spring;Sunny
11.0;37;11.0;5;Autumn;Rainy
-7.0;88;17.5;0;Winter;Snowy
30.0;36;3.5;10;Summer;Sunny
-12.0;27;2.0;0;Winter;Rainy
-6.0;73;6.0;1;Winter;Snowy
16.0;91;14.5;1;Spring;Rainy
23.0;80;10.0;3;Autumn;Rainy
0.0;78;15.0;0;Winter;Snowy
-16.0;33;13.0;14;Summer;Cloudy
18.0;39;3.5;4;Spring;Snowy
75.0;106;31.5;2;Spring;Rainy
-7.0;60;5.5;0;Winter;Snowy
31.0;67;13.5;0;Autumn;Rainy
24.0;75;9.5;1;Spring;Rainy
14.0;50;13.5;4;Summer;Cloudy
26.0;63;3.0;1;Winter;Cloudy
-6.0;99;41.0;12;Winter;Snowy
42.0;54;2.5;11;Autumn;Sunny
19.0;93;11.0;3;Summer;Rainy
32.0;26;1.0;7;Summer;Sunny
25.0;53;1.0;8;Autumn;Sunny
30.0;73;18.0;3;Summer;Rainy
33.0;70;17.0;2;Winter;Rainy
18.0;89;6.5;1;Winter;Rainy
25.0;91;15.0;6;Autumn;Cloudy
25.0;62;5.5;1;Winter;Cloudy
26.0;69;11.5;3;Autumn;Cloudy
33.0;80;14.0;1;Autumn;Rainy
-6.0;71;13.0;1;Winter;Snowy
-8.0;97;7.0;0;Winter;Snowy
24.0;69;8.0;3;Autumn;Rainy
40.0;46;1.5;10;Winter;Sunny
-10.0;75;8.0;1;Winter;Snowy
3.0;81;2.5;1;Winter;Snowy
28.0;69;9.0;4;Spring;Cloudy
21.0;78;14.5;1;Summer;Cloudy
49.0;26;1.5;7;Winter;Snowy
2.0;70;16.5;0;Winter;Snowy
21.0;101;11.5;10;Summer;Rainy
19.0;67;16.0;2;Spring;Rainy
26.0;53;0.5;2;Winter;Cloudy
39.0;63;1.5;10;Spring;Sunny
2.0;33;5.0;1;Summer;Snowy
-8.0;108;36.5;12;Winter;Snowy
27.0;99;8.0;2;Autumn;Rainy
25.0;71;1.5;1;Autumn;Cloudy
-8.0;89;7.0;1;Winter;Snowy
38.0;94;3.5;6;Summer;Sunny
24.0;63;6.5;2;Winter;Rainy
25.0;69;12.5;4;Autumn;Cloudy
15.0;85;9.5;2;Spring;Rainy
-3.0;24;11.0;6;Spring;Rainy
38.0;50;2.5;8;Winter;Sunny
-1.0;97;5.5;1;Winter;Snowy
12.0;96;8.5;1;Winter;Rainy
11.0;70;7.5;0;Winter;Rainy
27.0;48;6.5;8;Summer;Sunny
29.0;81;5.0;2;Winter;Rainy
40.0;64;8.0;6;Autumn;Sunny
14.0;76;9.5;1;Summer;Rainy
37.0;69;10.0;6;Spring;Sunny
24.0;62;7.0;1;Spring;Cloudy
-7.0;52;1.5;10;Winter;Snowy
-1.0;81;7.0;1;Winter;Snowy
-8.0;96;18.5;0;Winter;Snowy
-9.0;98;10.5;1;Winter;Snowy
25.0;66;8.5;6;Summer;Sunny
15.0;64;8.0;4;Autumn;Cloudy
22.0;75;16.0;1;Autumn;Rainy
24.0;60;11.5;3;Spring;Rainy
25.0;96;6.0;0;Autumn;Rainy
-1.0;61;13.0;4;Summer;Sunny
26.0;55;8.5;2;Autumn;Cloudy
24.0;76;6.5;1;Spring;Cloudy
29.0;105;44.0;9;Autumn;Rainy
14.0;62;8.0;2;Summer;Rainy
4.0;85;19.5;0;Winter;Snowy
22.0;51;6.0;2;Spring;Cloudy
24.0;29;2.0;9;Autumn;Sunny
-6.0;99;2.5;1;Winter;Snowy
-24.0;100;17.5;6;Winter;Snowy
33.0;67;9.0;6;Spring;Sunny
30.0;49;7.0;9;Spring;Sunny
-7.0;69;14.5;1;Winter;Snowy
21.0;58;4.0;2;Summer;Cloudy
25.0;73;4.5;3;Autumn;Cloudy
20.0;68;6.0;3;Spring;Cloudy
25.0;68;3.5;11;Spring;Sunny
23.0;69;8.0;1;Summer;Rainy
45.0;48;11.5;4;Summer;Cloudy
3.0;98;5.0;0;Winter;Snowy
-25.0;105;29.0;1;Winter;Snowy
14.0;70;12.0;2;Winter;Rainy
4.0;88;8.0;0;Winter;Snowy
35.0;62;9.0;10;Autumn;Sunny
1.0;67;8.5;1;Winter;Snowy
-5.0;68;13.5;0;Winter;Snowy
15.0;64;9.5;3;Autumn;Rainy
14.0;56;8.5;2;Autumn;Cloudy
67.0;72;10.0;1;Autumn;Sunny
36.0;69;10.0;5;Autumn;Sunny
29.0;30;6.0;10;Winter;Sunny
21.0;93;13.5;1;Winter;Rainy
2.0;44;12.0;9;Summer;Sunny
41.0;32;1.5;7;Winter;Sunny
47.0;38;0.5;6;Autumn;Cloudy
11.0;61;10.0;3;Autumn;Cloudy
0.0;87;3.5;0;Winter;Snowy
28.0;26;11.5;11;Spring;Sunny
4.0;66;6.0;0;Winter;Snowy
36.0;44;9.0;11;Winter;Sunny
43.0;39;2.0;8;Summer;Sunny
15.0;104;17.0;4;Winter;Cloudy
10.0;80;16.5;3;Spring;Rainy
0.0;71;19.5;0;Winter;Snowy
36.0;23;5.5;6;Spring;Sunny
-11.0;72;4.5;14;Autumn;Sunny
27.0;86;15.5;0;Winter;Rainy
31.0;24;1.0;11;Spring;Sunny
4.0;78;15.0;0;Winter;Snowy
22.0;74;14.5;0;Summer;Rainy
11.0;67;8.0;4;Summer;Cloudy
-5.0;93;16.5;1;Winter;Snowy
-11.0;98;33.0;7;Winter;Snowy
29.0;82;18.0;3;Spring;Rainy
36.0;52;5.0;7;Autumn;Sunny
84.0;75;18.0;14;Autumn;Sunny
20.0;70;12.5;1;Winter;Rainy
-3.0;61;1.5;1;Winter;Snowy
57.0;108;10.5;3;Summer;Sunny
26.0;76;27.5;12;Autumn;Rainy
35.0;83;16.0;0;Autumn;Sunny
-3.0;74;6.5;1;Winter;Snowy
19.0;77;5.0;2;Summer;Rainy
25.0;74;13.5;1;Autumn;Cloudy
32.0;91;5.5;3;Summer;Rainy
66.0;92;11.5;2;Spring;Cloudy
-4.0;68;5.5;0;Winter;Snowy
27.0;40;2.5;7;Summer;Sunny
22.0;63;5.0;11;Autumn;Sunny
-1.0;75;1.5;0;Winter;Snowy
-4.0;62;13.5;1;Winter;Snowy
0.0;77;7.5;0;Winter;Snowy
28.0;94;5.0;0;Summer;Rainy
-12.0;26;11.0;4;Winter;Sunny
18.0;39;12.0;6;Spring;Snowy
14.0;73;8.0;4;Autumn;Cloudy
33.0;71;11.5;1;Winter;Cloudy
-1.0;98;15.5;1;Winter;Snowy
24.0;101;27.5;14;Summer;Cloudy
22.0;88;15.5;3;Spring;Rainy
32.0;51;7.0;6;Winter;Sunny
18.0;67;11.5;3;Spring;Rainy
10.0;99;17.5;1;Spring;Rainy
55.0;78;22.0;4;Spring;Cloudy
11.0;63;12.0;1;Autumn;Rainy
41.0;41;2.0;8;Winter;Sunny
37.0;106;23.5;14;Summer;Rainy
1.0;95;4.0;0;Winter;Snowy
-8.0;68;11.0;0;Winter;Snowy
2.0;96;10.0;1;Winter;Snowy
30.0;59;8.5;6;Spring;Sunny
30.0;51;7.0;9;Summer;Sunny
31.0;29;6.0;7;Winter;Sunny
19.0;54;6.0;2;Summer;Cloudy
70.0;89;15.5;12;Summer;Sunny
-5.0;88;9.5;1;Winter;Snowy
31.0;70;14.5;4;Summer;Cloudy
38.0;53;8.5;7;Spring;Sunny
14.0;95;15.0;3;Spring;Rainy
22.0;51;1.5;3;Winter;Cloudy
15.0;72;0.5;2;Autumn;Cloudy
18.0;55;6.5;3;Winter;Cloudy
38.0;20;8.0;8;Autumn;Sunny
-15.0;40;12.0;10;Summer;Rainy
23.0;99;15.5;0;Summer;Rainy
19.0;77;15.0;0;Autumn;Rainy
19.0;68;11.5;3;Summer;Cloudy
-6.0;74;26.5;4;Winter;Snowy
28.0;93;12.0;3;Winter;Rainy
-17.0;76;1.5;14;Winter;Cloudy
31.0;84;20.0;0;Spring;Rainy
33.0;66;9.0;3;Autumn;Cloudy
-4.0;103;5.0;12;Winter;Snowy
33.0;63;12.5;4;Winter;Cloudy
47.0;94;11.5;3;Autumn;Sunny
14.0;76;17.5;0;Winter;Rainy
22.0;66;7.0;2;Winter;Cloudy
0.0;74;1.0;0;Winter;Snowy
34.0;84;16.5;2;Autumn;Rainy
21.0;60;17.5;0;Spring;Rainy
-5.0;96;20.0;1;Winter;Snowy
18.0;56;5.5;1;Winter;Cloudy
44.0;50;4.5;9;Spring;Sunny
31.0;94;1.5;9;Winter;Sunny
21.0;65;11.5;1;Autumn;Cloudy
-9.0;37;12.0;4;Winter;Sunny
23.0;37;4.0;7;Summer;Sunny
48.0;103;10.5;1;Autumn;Sunny
19.0;36;9.5;8;Winter;Sunny
27.0;70;6.5;2;Winter;Rainy
-1.0;71;7.5;1;Winter;Snowy
27.0;81;17.5;4;Winter;Sunny
55.0;78;3.0;2;Autumn;Sunny
17.0;66;14.5;4;Winter;Cloudy
34.0;92;18.0;3;Autumn;Rainy
29.0;51;3.5;11;Spring;Sunny
21.0;40;4.5;10;Autumn;Sunny
32.0;46;9.5;8;Autumn;Sunny
12.0;67;8.0;3;Summer;Cloudy
27.0;33;10.0;10;Winter;Sunny
30.0;70;16.5;1;Summer;Rainy
0.0;95;18.0;0;Winter;Snowy
26.0;64;10.5;3;Spring;Cloudy
26.0;75;6.0;4;Winter;Cloudy
15.0;81;14.0;1;Autumn;Rainy
23.0;78;11.0;3;Winter;Cloudy
27.0;49;3.0;6;Autumn;Sunny
33.0;66;9.5;9;Spring;Sunny
2.0;62;3.0;0;Winter;Snowy
33.0;55;0.0;3;Autumn;Cloudy
24.0;28;8.0;8;Summer;Sunny
10.0;62;5.0;3;Winter;Cloudy
35.0;50;0.5;10;Winter;Sunny
34.0;94;17.0;5;Autumn;Cloudy
5.0;106;20.0;8;Winter;Snowy
47.0;92;0.0;12;Summer;Sunny
34.0;64;7.0;2;Winter;Rainy
35.0;22;1.5;9;Winter;Sunny
13.0;51;10.0;4;Summer;Cloudy
26.0;60;3.5;5;Winter;Sunny
-6.0;40;8.0;5;Autumn;Rainy
23.0;69;10.5;1;Spring;Rainy
29.0;44;4.0;10;Winter;Sunny
12.0;71;19.5;1;Summer;Rainy
27.0;73;9.5;1;Summer;Cloudy
19.0;62;1.0;1;Spring;Cloudy
21.0;74;12.0;2;Summer;Cloudy
16.0;87;14.0;0;Summer;Rainy
31.0;27;10.0;5;Spring;Sunny
29.0;57;8.5;7;Autumn;Sunny
34.0;73;3.5;2;Winter;Cloudy
-10.0;68;5.5;1;Winter;Snowy
0.0;94;7.5;0;Winter;Snowy
37.0;32;8.5;11;Summer;Sunny
29.0;76;10.0;4;Spring;Cloudy
40.0;99;13.0;12;Autumn;Cloudy
41.0;95;16.5;10;Autumn;Rainy
28.0;98;34.0;9;Winter;Rainy
21.0;33;3.0;7;Autumn;Sunny
21.0;71;5.0;0;Spring;Rainy
16.0;76;8.5;4;Summer;Cloudy
29.0;70;2.5;2;Winter;Cloudy
2.0;66;1.0;1;Winter;Snowy
14.0;75;12.5;4;Winter;Sunny
-10.0;86;20.0;1;Winter;Snowy
19.0;82;7.0;1;Summer;Rainy
23.0;109;0.0;4;Spring;Sunny
15.0;52;0.0;3;Autumn;Cloudy
21.0;77;3.5;10;Autumn;Cloudy
23.0;30;5.0;12;Winter;Cloudy
4.0;97;3.0;1;Winter;Snowy
26.0;55;1.0;5;Spring;Sunny
-10.0;71;14.0;0;Winter;Snowy
34.0;87;13.0;0;Autumn;Rainy
20.0;26;7.5;10;Spring;Sunny
28.0;26;8.0;11;Summer;Sunny
54.0;97;15.0;14;Winter;Cloudy
36.0;105;14.5;4;Spring;Cloudy
34.0;76;2.0;6;Winter;Rainy
31.0;28;1.0;5;Spring;Sunny
31.0;70;14.5;4;Spring;Cloudy
-10.0;92;4.0;1;Winter;Snowy
28.0;33;8.0;4;Summer;Sunny
1.0;78;16.0;1;Winter;Snowy
21.0;53;10.0;6;Winter;Sunny
-7.0;25;2.0;5;Autumn;Cloudy
0.0;86;9.0;0;Winter;Snowy
-9.0;60;5.0;1;Winter;Snowy
-7.0;85;14.5;0;Winter;Snowy
24.0;31;0.5;9;Winter;Sunny
30.0;72;13.0;1;Spring;Rainy
40.0;32;7.5;6;Spring;Sunny
-12.0;97;29.5;14;Winter;Snowy
-6.0;67;17.0;1;Winter;Snowy
34.0;51;8.5;7;Winter;Sunny
-1.0;79;16.5;1;Winter;Snowy
15.0;62;6.5;3;Winter;Cloudy
-10.0;82;13.5;1;Winter;Snowy
32.0;61;19.5;1;Winter;Rainy
-13.0;46;1.0;12;Winter;Sunny
17.0;61;15.0;1;Autumn;Rainy
-5.0;72;14.5;1;Winter;Snowy
2.0;69;7.5;13;Summer;Snowy
38.0;78;3.5;0;Winter;Snowy
22.0;50;0.0;5;Summer;Sunny
30.0;45;6.0;7;Summer;Sunny
22.0;79;10.0;1;Autumn;Rainy
-6.0;99;14.0;0;Winter;Snowy
-3.0;86;10.5;1;Winter;Snowy
3.0;108;33.0;3;Winter;Snowy
26.0;67;12.0;2;Winter;Cloudy
17.0;95;43.5;4;Winter;Rainy
34.0;55;4.0;5;Winter;Sunny
-10.0;94;5.0;1;Winter;Snowy
14.0;66;4.0;1;Spring;Cloudy
-2.0;92;19.5;3;Winter;Snowy
21.0;60;15.5;0;Autumn;Rainy
17.0;72;4.5;2;Spring;Cloudy
15.0;68;0.0;3;Winter;Cloudy
30.0;90;19.0;3;Spring;Rainy
31.0;78;13.0;4;Spring;Cloudy
21.0;76;8.5;3;Autumn;Cloudy
42.0;63;9.0;14;Autumn;Cloudy
32.0;27;8.0;8;Spring;Sunny
1.0;89;4.5;0;Winter;Snowy
2.0;82;3.0;1;Winter;Snowy
41.0;40;10.0;6;Spring;Sunny
27.0;29;2.5;7;Summer;Sunny
-1.0;104;27.0;1;Winter;Snowy
28.0;29;1.5;6;Summer;Sunny
1.0;92;1.0;1;Winter;Snowy
-2.0;79;3.0;1;Winter;Snowy
42.0;27;8.0;14;Summer;Snowy
54.0;109;13.5;10;Spring;Rainy
39.0;35;14.0;8;Spring;Sunny
22.0;47;8.5;6;Spring;Sunny
1.0;78;6.0;1;Winter;Snowy
-10.0;86;11.0;0;Winter;Snowy
41.0;69;7.5;11;Winter;Sunny
14.0;65;16.0;1;Autumn;Rainy
33.0;71;9.5;3;Autumn;Cloudy
14.0;55;14.0;3;Spring;Cloudy
-3.0;95;19.5;0;Winter;Snowy
15.0;74;18.0;2;Winter;Rainy
17.0;63;10.5;4;Spring;Cloudy
39.0;44;5.5;5;Spring;Sunny
37.0;68;2.0;5;Winter;Sunny
28.0;64;2.5;1;Autumn;Cloudy
12.0;62;5.5;4;Winter;Rainy
11.0;79;16.5;11;Spring;Rainy
2.0;105;19.0;7;Winter;Snowy
19.0;23;4.5;1;Summer;Snowy
4.0;74;8.5;1;Winter;Snowy
22.0;27;3.0;9;Spring;Sunny
13.0;99;18.5;1;Summer;Rainy
-6.0;70;12.0;1;Winter;Snowy
32.0;87;5.5;0;Summer;Rainy
39.0;41;1.5;11;Winter;Sunny
23.0;83;9.5;3;Winter;Rainy
-5.0;68;7.5;1;Winter;Snowy
31.0;79;5.0;4;Autumn;Cloudy
23.0;90;17.0;0;Winter;Rainy
-5.0;66;5.5;0;Winter;Snowy
22.0;60;11.5;2;Spring;Rainy
21.0;86;16.0;0;Summer;Rainy
34.0;67;8.0;7;Autumn;Sunny
25.0;53;4.0;11;Spring;Sunny
4.0;91;17.5;1;Winter;Snowy
30.0;72;6.5;0;Summer;Rainy
34.0;77;14.0;1;Autumn;Rainy
23.0;79;19.5;0;Summer;Rainy
18.0;68;4.0;11;Summer;Snowy
91.0;106;2.5;6;Winter;Sunny
27.0;72;5.5;4;Spring;Rainy
12.0;76;11.5;1;Winter;Rainy
-1.0;88;13.5;1;Winter;Snowy
39.0;102;26.0;8;Summer;Cloudy
24.0;54;0.5;5;Autumn;Sunny
-4.0;91;20.0;1;Winter;Snowy
-10.0;77;12.5;1;Winter;Snowy
24.0;28;1.0;6;Spring;Sunny
22.0;51;9.5;9;Spring;Sunny
-5.0;62;12.0;0;Winter;Snowy
26.0;73;13.0;4;Summer;Cloudy
42.0;56;7.5;8;Summer;Sunny
32.0;94;11.0;1;Spring;Rainy
29.0;35;7.5;7;Spring;Sunny
5.0;21;14.5;13;Autumn;Cloudy
29.0;107;0.5;8;Spring;Cloudy
-1.0;78;19.0;0;Winter;Snowy
33.0;61;0.5;3;Winter;Cloudy
6.0;105;7.0;1;Winter;Snowy
-8.0;75;9.5;0;Winter;Snowy
21.0;74;8.5;7;Spring;Cloudy
0.0;86;0.5;0;Winter;Snowy
29.0;61;14.0;3;Autumn;Cloudy
26.0;66;12.0;1;Spring;Rainy
26.0;64;4.5;2;Spring;Cloudy
28.0;66;13.5;0;Autumn;Rainy
4.0;28;8.0;7;Autumn;Cloudy
63.0;71;20.0;4;Autumn;Sunny
15.0;72;35.5;1;Autumn;Rainy
12.0;61;11.5;1;Spring;Cloudy
41.0;55;4.0;11;Winter;Sunny
2.0;80;10.5;0;Winter;Snowy
-9.0;61;3.0;1;Winter;Snowy
32.0;73;9.0;3;Winter;Rainy
33.0;65;7.0;3;Summer;Rainy
16.0;87;14.0;0;Spring;Rainy
12.0;70;5.0;4;Spring;Cloudy
21.0;92;17.5;3;Winter;Rainy
-2.0;92;14.5;1;Winter;Snowy
13.0;61;7.0;2;Winter;Cloudy
29.0;91;7.0;2;Winter;Rainy
18.0;74;9.0;2;Autumn;Cloudy
23.0;55;6.5;9;Autumn;Sunny
-19.0;77;14.0;2;Winter;Cloudy
12.0;77;5.0;4;Spring;Cloudy
31.0;97;28.5;9;Winter;Cloudy
24.0;57;14.0;2;Autumn;Cloudy
14.0;82;15.5;3;Summer;Rainy
-19.0;68;2.5;0;Summer;Cloudy
64.0;91;17.5;2;Summer;Rainy
37.0;66;5.0;11;Autumn;Sunny
-7.0;96;2.5;1;Winter;Snowy
24.0;51;0.0;2;Winter;Cloudy
43.0;102;1.0;4;Winter;Sunny
4.0;78;4.5;0;Winter;Snowy
4.0;55;3.5;7;Autumn;Snowy
22.0;56;8.0;11;Spring;Sunny
-3.0;92;28.0;1;Winter;Snowy
31.0;82;12.5;2;Autumn;Rainy
20.0;67;13.0;2;Summer;Cloudy
28.0;71;15.5;10;Spring;Rainy
20.0;79;4.0;2;Spring;Cloudy
25.0;74;16.0;1;Spring;Rainy
28.0;84;11.0;1;Spring;Rainy
12.0;60;11.0;1;Spring;Rainy
41.0;35;13.0;7;Winter;Sunny
31.0;57;1.5;2;Winter;Sunny
20.0;75;13.0;3;Summer;Cloudy
32.0;104;27.0;3;Winter;Cloudy
25.0;78;13.0;0;Winter;Rainy
1.0;81;9.5;1;Winter;Snowy
19.0;70;11.5;10;Winter;Sunny
29.0;79;6.5;1;Winter;Rainy
30.0;97;18.0;3;Spring;Rainy
32.0;52;7.5;10;Autumn;Sunny
44.0;23;4.5;9;Winter;Sunny
22.0;62;6.0;3;Winter;Rainy
15.0;65;15.0;1;Autumn;Rainy
33.0;75;20.5;0;Autumn;Sunny
-7.0;92;7.5;0;Winter;Snowy
15.0;98;19.5;3;Autumn;Rainy
29.0;86;16.5;5;Summer;Rainy
-10.0;98;9.5;0;Winter;Snowy
31.0;95;19.0;3;Spring;Rainy
14.0;82;5.0;1;Spring;Rainy
-9.0;100;7.0;14;Winter;Snowy
21.0;87;7.0;1;Autumn;Rainy
-15.0;55;4.5;2;Spring;Snowy
29.0;93;8.5;0;Autumn;Rainy
14.0;75;8.0;2;Winter;Rainy
13.0;76;0.0;3;Spring;Cloudy
-1.0;85;0.0;12;Winter;Snowy
12.0;95;19.5;2;Spring;Rainy
-4.0;92;13.5;0;Winter;Snowy
-8.0;89;8.0;1;Winter;Snowy
20.0;61;10.5;3;Summer;Cloudy
34.0;24;7.5;11;Spring;Sunny
31.0;68;3.5;8;Winter;Sunny
16.0;71;13.5;1;Autumn;Cloudy
26.0;94;12.0;3;Summer;Rainy
20.0;75;19.5;2;Summer;Rainy
-10.0;73;7.5;1;Winter;Snowy
24.0;30;9.5;11;Spring;Sunny
14.0;62;15.0;2;Spring;Cloudy
23.0;47;8.0;11;Winter;Sunny
39.0;20;1.0;6;Summer;Sunny
0.0;89;19.5;0;Winter;Snowy
34.0;74;16.5;2;Winter;Rainy
17.0;97;16.0;1;Winter;Rainy
19.0;77;11.0;4;Summer;Cloudy
36.0;87;16.0;2;Spring;Sunny
48.0;75;24.5;8;Autumn;Cloudy
-4.0;97;19.0;1;Winter;Snowy
35.0;64;12.5;4;Summer;Snowy
35.0;89;15.0;1;Spring;Cloudy
23.0;76;9.5;3;Summer;Cloudy
-4.0;92;25.0;12;Winter;Snowy
27.0;96;11.5;2;Spring;Rainy
16.0;77;9.5;3;Summer;Cloudy
27.0;99;9.5;10;Autumn;Sunny
47.0;83;23.5;9;Winter;Cloudy
44.0;47;6.5;7;Spring;Sunny
30.0;31;4.5;6;Winter;Sunny
-9.0;72;0.0;0;Winter;Snowy
43.0;49;8.5;7;Autumn;Sunny
-1.0;88;8.5;1;Winter;Snowy
-3.0;107;28.5;1;Winter;Snowy
4.0;96;22.0;6;Winter;Snowy
20.0;39;3.5;11;Autumn;Sunny
22.0;60;0.5;9;Winter;Sunny
30.0;77;6.0;2;Summer;Rainy
17.0;64;5.5;3;Winter;Rainy
15.0;85;31.0;2;Autumn;Rainy
-4.0;94;1.5;0;Winter;Snowy
34.0;87;13.5;2;Autumn;Rainy
55.0;106;4.5;6;Autumn;Cloudy
44.0;30;0.0;9;Autumn;Sunny
34.0;61;11.0;10;Summer;Rainy
7.0;65;15.0;9;Summer;Sunny
10.0;41;3.0;6;Autumn;Sunny
46.0;102;8.0;4;Winter;Cloudy
22.0;68;8.0;1;Autumn;Cloudy
44.0;64;6.0;9;Winter;Sunny
17.0;108;7.5;3;Summer;Sunny
4.0;44;13.5;2;Autumn;Rainy
27.0;71;0.0;2;Autumn;Cloudy
29.0;109;21.0;9;Winter;Cloudy
22.0;74;0.5;3;Winter;Cloudy
15.0;85;16.5;3;Spring;Rainy
33.0;48;9.5;8;Summer;Snowy
32.0;69;12.5;2;Spring;Rainy
16.0;69;5.0;1;Summer;Cloudy
19.0;92;9.5;3;Autumn;Rainy
18.0;68;9.5;3;Summer;Rainy
25.0;64;6.0;1;Autumn;Cloudy
31.0;55;4.0;8;Spring;Sunny
26.0;70;4.0;2;Spring;Cloudy
31.0;24;10.0;6;Summer;Sunny
-4.0;84;13.5;1;Winter;Snowy
-9.0;70;18.0;0;Winter;Snowy
32.0;77;13.5;5;Autumn;Sunny
-7.0;57;1.5;11;Summer;Sunny
30.0;71;9.5;2;Winter;Rainy
24.0;23;9.5;5;Spring;Snowy
41.0;69;9.5;7;Spring;Sunny
7.0;66;0.5;14;Winter;Sunny
14.0;88;16.5;0;Winter;Rainy
3.0;99;2.5;0;Winter;Snowy
32.0;62;7.5;8;Autumn;Sunny
2.0;84;1.5;0;Winter;Snowy
27.0;77;16.0;0;Summer;Sunny
11.0;102;31.0;9;Winter;Rainy
-6.0;73;3.5;1;Winter;Snowy
4.0;67;16.5;0;Winter;Snowy
18.0;65;13.5;3;Summer;Cloudy
-5.0;99;9.0;1;Winter;Snowy
44.0;55;4.0;8;Spring;Sunny
29.0;47;8.5;11;Summer;Sunny
29.0;49;4.5;8;Spring;Sunny
-19.0;50;1.5;5;Spring;Rainy
-4.0;96;7.5;1;Winter;Snowy
9.0;75;12.5;0;Autumn;Rainy
17.0;62;14.0;1;Spring;Rainy
32.0;99;16.0;3;Spring;Rainy
2.0;91;2.5;4;Winter;Snowy
29.0;24;6.5;9;Summer;Sunny
10.0;57;8.5;4;Summer;Cloudy
14.0;80;9.0;1;Summer;Rainy
31.0;66;9.0;9;Spring;Sunny
0.0;62;14.0;1;Winter;Snowy
3.0;68;16.5;0;Winter;Snowy
14.0;79;14.0;3;Spring;Rainy
1.0;99;7.5;1;Winter;Snowy
23.0;35;2.5;12;Autumn;Cloudy
28.0;75;17.5;0;Autumn;Rainy
14.0;67;10.0;3;Autumn;Rainy
25.0;72;15.0;1;Winter;Rainy
18.0;87;11.0;4;Autumn;Sunny
-3.0;90;16.5;1;Winter;Snowy
19.0;71;13.0;2;Summer;Rainy
19.0;62;5.5;2;Summer;Rainy
32.0;44;1.5;5;Winter;Sunny
68.0;96;33.5;8;Summer;Rainy
28.0;47;7.0;6;Summer;Sunny
4.0;94;18.5;1;Winter;Snowy
44.0;67;1.5;6;Spring;Sunny
31.0;50;2.0;9;Winter;Sunny
17.0;100;22.5;3;Winter;Rainy
22.0;51;6.5;10;Winter;Sunny
36.0;52;7.0;5;Summer;Sunny
29.0;71;1.5;1;Spring;Cloudy
